business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
CA02,0140105686,SYSC llc,2020-04-10 00:00:07.796749482,2020.0,2960623488.0,2020-03-30,2020-04-10,2020-03-31,CA10,2309.7899999999995,0-15
U001,0200744019,TARG us,2020-04-03 00:00:14.925417529,2020.0,1930659387.0,2020-03-19,2020-04-03,2020-03-19,NAA8,11173.02,0-15
U001,0200418007,AM ,2020-03-26 00:00:08.590630320,2020.0,1930610806.0,2020-03-11,2020-03-26,2020-03-11,NAA8,3525.59,0-15
U001,0200739534,OK systems,2020-04-30 00:00:14.835523349,2020.0,1930788296.0,2020-04-15,2020-04-30,2020-04-15,NAA8,121105.65,0-15
U001,0200353024,DECA corporation,2020-04-26 00:00:07.741934668,2020.0,1930817482.0,2020-04-23,2020-04-26,2020-04-16,NAM2,3726.06,0-15
U001,0200744019,TARG associates,2020-04-05 00:00:14.984623879,2020.0,1930676042.0,2020-03-21,2020-04-05,2020-03-21,NAA8,5893.01,0-15
CA02,0140106408,WAL-M corp,2020-03-16 00:00:08.916238785,2020.0,2960618790.0,2020-03-06,2020-03-16,2020-03-06,CA10,64982.589,0-15
U001,0200337148,COAS llc,2020-03-17 00:00:08.782482172,2020.0,1930592246.0,2020-03-02,2020-03-17,2020-03-02,NAA8,11380.83,0-15
U001,0200794332,COST associates,2020-04-22 00:00:12.926687371,2020.0,1930731070.0,2020-04-07,2020-04-22,2020-04-07,NAAX,3863.93,0-15
U001,0200794332,COST llc,2020-05-08 00:00:12.750179434,2020.0,1930803605.0,2020-04-23,2020-05-08,2020-04-23,NAAX,74453.01,0-15
U001,0200803720,DEC corp,2020-04-08 00:00:12.750179434,2020.0,1930698352.0,2020-03-25,2020-04-08,2020-03-16,NAM4,138.6,0-15
U001,0200794332,COST co,2020-03-28 00:00:12.655893720,2020.0,1930647189.0,2020-03-13,2020-03-28,2020-03-13,NAAX,32715.47,0-15
U001,0200020431,DEC us,2020-05-24 00:00:08.782482172,2020.0,1930861637.0,2020-05-06,2020-05-24,2020-05-01,NAM4,174.72,0-15
U001,0200769623,WAL-MAR associates,2020-03-27 00:00:12.510073613,2020.0,1930635649.0,2020-03-12,2020-03-27,2020-03-12,NAH4,767.78,0-15
CA02,140105785,SHOPPE foundation,2020-04-10 00:00:07.796749482,2020.0,2960624627.0,2020-03-27,2020-04-10,2020-03-31,CA10,1980.7199999999998,0-15
U001,0200769623,WAL-MAR ,2020-03-14 00:00:12.510073613,2020.0,1930577078.0,2020-02-28,2020-03-14,2020-02-28,NAH4,14514.68,0-15
U001,0200769623,WAL-MAR foundation,2020-04-25 00:00:12.510073613,2020.0,1930774741.0,2020-04-10,2020-04-25,2020-04-10,NAH4,55400.31,0-15
U001,0200772670,ASSOCIAT corporation,2020-04-24 00:00:12.510073613,2020.0,1930765053.0,2020-04-09,2020-04-24,2020-04-09,NAU5,174766.36,0-15
U001,0200900909,SYSCO systems,2020-04-14 00:00:12.655893720,2020.0,1930645969.0,2020-03-13,2020-04-14,2020-03-13,NA32,31512.75,0-15
U001,0200769623,WAL-MAR systems,2020-04-14 00:00:12.510073613,2020.0,1930718081.0,2020-03-30,2020-04-14,2020-03-30,NAH4,19701.55,0-15
U001,0200726979,BJ'S  trust,2020-05-01 00:00:14.925417529,2020.0,1930788667.0,2020-04-16,2020-05-01,2020-04-16,NAA8,132.72,0-15
U001,0200769623,WAL-MAR llc,2020-04-13 00:00:12.510073613,2020.0,1930709919.0,2020-03-29,2020-04-13,2020-03-29,NAH4,1121.15,0-15
U001,0200769623,WAL-MAR llc,2020-04-21 00:00:12.780867265,2020.0,1930752568.0,2020-04-06,2020-04-21,2020-04-06,NAH4,11394.84,0-15
CA02,0140105847,GORDON F co,2020-04-18 00:00:08.834016563,2020.0,2960627274.0,2020-04-08,2020-04-18,2020-04-08,CA10,2579.64,0-15
U001,0200744019,TARG foundation,2020-03-30 00:00:14.835523349,2020.0,1930648342.0,2020-03-15,2020-03-30,2020-03-15,NAA8,52123.3,0-15
U001,0200769623,WAL-MAR systems,2020-03-25 00:00:12.510073613,2020.0,1930632791.0,2020-03-10,2020-03-25,2020-03-10,NAH4,14994.01,0-15
U001,0200769623,WAL-MAR llc,2020-03-21 00:00:12.297250978,2020.0,1930617194.0,2020-03-06,2020-03-21,2020-03-06,NAH4,36.06,0-15
U001,0200418007,AM in,2020-04-21 00:00:08.861423971,2020.0,1930752243.0,2020-04-06,2020-04-21,2020-04-06,NAA8,25836.19,0-15
U001,0200739006,AL foundation,2020-04-30 00:00:14.835523349,2020.0,1930768064.0,2020-04-15,2020-04-30,2020-04-15,NAA8,4309.05,0-15
U001,0100031704,DELHAIZE associates,2020-04-30 00:00:34.571635611,2020.0,1930789873.0,2020-04-15,2020-04-30,2020-04-15,NAA8,70181.07,31-45
U001,0200769623,WAL-MAR trust,2020-04-12 00:00:12.510073613,2020.0,1930705172.0,2020-03-28,2020-04-12,2020-03-28,NAH4,3403.8,0-15
U001,0200744019,TARG systems,2020-05-14 00:00:14.835523349,2020.0,1930620634.0,2020-03-10,2020-05-14,2020-03-10,NAGD,10665.53,0-15
U001,0200769623,WAL-MAR ,2020-04-05 00:00:12.659174143,2020.0,1930676002.0,2020-03-21,2020-04-05,2020-03-21,NAH4,7280.51,0-15
U001,0200726979,BJ'S  corporation,2020-03-17 00:00:15.007639752,2020.0,1930585378.0,2020-03-02,2020-03-17,2020-03-02,NAA8,13681.7,16-30
U001,0200706844,WINC associates,2020-04-22 00:00:15.106317000,2020.0,1930773419.0,2020-04-07,2020-04-22,2020-04-07,NAA8,33947.85,16-30
U001,0200793830,M llc,2020-04-23 00:00:12.844465148,2020.0,1930767747.0,2020-04-08,2020-04-23,2020-04-08,NAA8,4537.14,0-15
U001,0200769623,WAL-MAR foundation,2020-04-21 00:00:12.780867265,2020.0,1930750455.0,2020-04-06,2020-04-21,2020-04-06,NAH4,14355.96,0-15
U001,0200769623,WAL-MAR systems,2020-04-18 00:00:12.662454566,2020.0,1930738904.0,2020-04-03,2020-04-18,2020-04-03,NAH4,367.71,0-15
